timestamp,value
2014-02-16 00:02:00,2.118
2014-02-16 00:07:00,2.35
2014-02-16 00:12:00,2.234
2014-02-16 00:17:00,2.334
2014-02-16 00:22:00,3.566
2014-02-16 00:27:00,2.31
2014-02-16 00:32:00,2.14
2014-02-16 00:37:00,2.36
2014-02-16 00:42:00,2.106
2014-02-16 00:47:00,2.272
2014-02-16 00:52:00,2.162
2014-02-16 00:57:00,2.412
2014-02-16 01:02:00,2.116
2014-02-16 01:07:00,2.318
2014-02-16 01:12:00,3.526
2014-02-16 01:17:00,2.414
2014-02-16 01:22:00,2.22
2014-02-16 01:27:00,2.412
2014-02-16 01:32:00,2.12
2014-02-16 01:37:00,2.376
2014-02-16 01:42:00,2.124
2014-02-16 01:47:00,2.426
2014-02-16 01:52:00,2.288
2014-02-16 01:57:00,2.318
2014-02-16 02:02:00,2.116
2014-02-16 02:07:00,2.3
2014-02-16 02:12:00,3.376
2014-02-16 02:17:00,2.334
2014-02-16 02:22:00,2.05
2014-02-16 02:27:00,2.328
2014-02-16 02:32:00,2.1
2014-02-16 02:37:00,2.366
2014-02-16 02:42:00,2.164
2014-02-16 02:47:00,2.334
2014-02-16 02:52:00,2.114
2014-02-16 02:57:00,2.396
2014-02-16 03:02:00,2.12
2014-02-16 03:07:00,2.336
2014-02-16 03:12:00,2.2
2014-02-16 03:17:00,2.266
2014-02-16 03:22:00,3.742
2014-02-16 03:27:00,2.396
2014-02-16 03:32:00,2.084
2014-02-16 03:37:00,2.338
2014-02-16 03:42:00,2.122
2014-02-16 03:47:00,2.334
2014-02-16 03:52:00,2.33
2014-02-16 03:57:00,2.404
2014-02-16 04:02:00,2.052
2014-02-16 04:07:00,2.284
2014-02-16 04:12:00,2.118
2014-02-16 04:17:00,2.264
2014-02-16 04:22:00,3.43
2014-02-16 04:27:00,2.3
2014-02-16 04:32:00,2.096
2014-02-16 04:37:00,2.336
2014-02-16 04:42:00,2.072
2014-02-16 04:47:00,2.234
2014-02-16 04:52:00,2.17
2014-02-16 04:57:00,2.368
2014-02-16 05:02:00,2.05
2014-02-16 05:07:00,2.342
2014-02-16 05:12:00,3.38
2014-02-16 05:17:00,2.328
2014-02-16 05:22:00,2.102
2014-02-16 05:27:00,2.334
2014-02-16 05:32:00,2.066
2014-02-16 05:37:00,2.2
2014-02-16 05:42:00,2.094
2014-02-16 05:47:00,2.424
2014-02-16 05:52:00,2.08
2014-02-16 05:57:00,2.28
2014-02-16 06:02:00,2.096
2014-02-16 06:07:00,3.634
2014-02-16 06:12:00,2.05
2014-02-16 06:17:00,2.184
2014-02-16 06:22:00,2.098
2014-02-16 06:27:00,2.284
2014-02-16 06:32:00,2.12
2014-02-16 06:37:00,2.336
2014-02-16 06:42:00,2.102
2014-02-16 06:47:00,2.302
2014-02-16 06:52:00,2.146
2014-02-16 06:57:00,2.378
2014-02-16 07:02:00,2.15
2014-02-16 07:07:00,2.352
2014-02-16 07:12:00,3.46
2014-02-16 07:17:00,2.292
2014-02-16 07:22:00,2.08
2014-02-16 07:27:00,2.252
2014-02-16 07:32:00,2.144
2014-02-16 07:37:00,2.644
2014-02-16 07:42:00,2.062
2014-02-16 07:47:00,2.162
2014-02-16 07:52:00,1.936
2014-02-16 07:57:00,2.196
2014-02-16 08:02:00,1.996
2014-02-16 08:07:00,2.254
2014-02-16 08:12:00,1.932
2014-02-16 08:17:00,2.172
2014-02-16 08:22:00,3.226
2014-02-16 08:27:00,2.116
2014-02-16 08:32:00,1.98
2014-02-16 08:37:00,2.196
2014-02-16 08:42:00,1.95
2014-02-16 08:47:00,2.208
2014-02-16 08:52:00,1.934
2014-02-16 08:57:00,2.296
2014-02-16 09:02:00,2.002
2014-02-16 09:07:00,2.162
2014-02-16 09:12:00,3.268
2014-02-16 09:17:00,2.26
2014-02-16 09:22:00,2.006
2014-02-16 09:27:00,2.168
2014-02-16 09:32:00,2.234
2014-02-16 09:37:00,2.166
2014-02-16 09:42:00,2.016
2014-02-16 09:47:00,2.066
2014-02-16 09:52:00,1.998
2014-02-16 09:57:00,2.216
2014-02-16 10:02:00,1.962
2014-02-16 10:07:00,2.146
2014-02-16 10:12:00,1.966
2014-02-16 10:17:00,3.44
2014-02-16 10:22:00,1.946
2014-02-16 10:27:00,2.138
2014-02-16 10:32:00,1.994
2014-02-16 10:37:00,2.156
2014-02-16 10:42:00,1.944
2014-02-16 10:47:00,2.26
2014-02-16 10:52:00,1.984
2014-02-16 10:57:00,2.25
2014-02-16 11:02:00,2.02
2014-02-16 11:07:00,2.234
2014-02-16 11:12:00,2.066
2014-02-16 11:17:00,3.67
2014-02-16 11:22:00,2.016
2014-02-16 11:27:00,2.202
2014-02-16 11:32:00,2.01
2014-02-16 11:37:00,2.126
2014-02-16 11:42:00,1.916
2014-02-16 11:47:00,2.116
2014-02-16 11:52:00,1.936
2014-02-16 11:57:00,2.152
2014-02-16 12:02:00,2.05
2014-02-16 12:07:00,2.152
2014-02-16 12:12:00,2.012
2014-02-16 12:17:00,2.116
2014-02-16 12:22:00,3.298
2014-02-16 12:27:00,2.116
2014-02-16 12:32:00,2.01
2014-02-16 12:37:00,2.252
2014-02-16 12:42:00,1.936
2014-02-16 12:47:00,2.182
2014-02-16 12:52:00,2.016
2014-02-16 12:57:00,2.346
2014-02-16 13:02:00,1.984
2014-02-16 13:07:00,2.202
2014-02-16 13:12:00,3.334
2014-02-16 13:17:00,2.23
2014-02-16 13:22:00,2.018
2014-02-16 13:27:00,2.102
2014-02-16 13:32:00,1.966
2014-02-16 13:37:00,2.168
2014-02-16 13:42:00,1.934
2014-02-16 13:47:00,2.116
2014-02-16 13:52:00,1.934
2014-02-16 13:57:00,2.2
2014-02-16 14:02:00,2.032
2014-02-16 14:07:00,2.18
2014-02-16 14:12:00,3.266
2014-02-16 14:17:00,2.248
2014-02-16 14:22:00,2.046
2014-02-16 14:27:00,2.396
2014-02-16 14:32:00,1.918
2014-02-16 14:37:00,2.136
2014-02-16 14:42:00,2.032
2014-02-16 14:47:00,2.166
2014-02-16 14:52:00,1.996
2014-02-16 14:57:00,2.152
2014-02-16 15:02:00,1.996
2014-02-16 15:07:00,2.1
2014-02-16 15:12:00,1.98
2014-02-16 15:17:00,3.474
2014-02-16 15:22:00,1.99
2014-02-16 15:27:00,2.116
2014-02-16 15:32:00,1.944
2014-02-16 15:37:00,2.192
2014-02-16 15:42:00,1.996
2014-02-16 15:47:00,2.196
2014-02-16 15:52:00,1.956
2014-02-16 15:57:00,2.214
2014-02-16 16:02:00,2.022
2014-02-16 16:07:00,2.142
2014-02-16 16:12:00,1.924
2014-02-16 16:17:00,3.45
2014-02-16 16:22:00,1.886
2014-02-16 16:27:00,2.124
2014-02-16 16:32:00,1.956
2014-02-16 16:37:00,2.192
2014-02-16 16:42:00,1.938
2014-02-16 16:47:00,2.154
2014-02-16 16:52:00,1.906
2014-02-16 16:57:00,2.15
2014-02-16 17:02:00,2
2014-02-16 17:07:00,3.4
2014-02-16 17:12:00,2.036
2014-02-16 17:17:00,2.182
2014-02-16 17:22:00,1.868
2014-02-16 17:27:00,2.242
2014-02-16 17:32:00,2.04
2014-02-16 17:37:00,2.136
2014-02-16 17:42:00,2.034
2014-02-16 17:47:00,2.244
2014-02-16 17:52:00,1.956
2014-02-16 17:57:00,2.112
2014-02-16 18:02:00,1.966
2014-02-16 18:07:00,2.084
2014-02-16 18:12:00,1.918
2014-02-16 18:17:00,2.062
2014-02-16 18:22:00,3.236
2014-02-16 18:27:00,2.112
2014-02-16 18:32:00,2.016
2014-02-16 18:37:00,2.13
2014-02-16 18:42:00,1.962
2014-02-16 18:47:00,2.148
2014-02-16 18:52:00,1.95
2014-02-16 18:57:00,2.334
2014-02-16 19:02:00,1.934
2014-02-16 19:07:00,2.096
2014-02-16 19:12:00,2.02
2014-02-16 19:17:00,2.1
2014-02-16 19:22:00,3.192
2014-02-16 19:27:00,2.062
2014-02-16 19:32:00,1.894
2014-02-16 19:37:00,2.088
2014-02-16 19:42:00,1.966
2014-02-16 19:47:00,2.134
2014-02-16 19:52:00,1.968
2014-02-16 19:57:00,2.216
2014-02-16 20:02:00,1.94
2014-02-16 20:07:00,2.142
2014-02-16 20:12:00,1.998
2014-02-16 20:17:00,3.35
2014-02-16 20:22:00,2.064
2014-02-16 20:27:00,2.042
2014-02-16 20:32:00,1.916
2014-02-16 20:37:00,2.124
2014-02-16 20:42:00,1.854
2014-02-16 20:47:00,2.046
2014-02-16 20:52:00,1.894
2014-02-16 20:57:00,2.11
2014-02-16 21:02:00,1.884
2014-02-16 21:07:00,2.114
2014-02-16 21:12:00,1.924
2014-02-16 21:17:00,2.074
2014-02-16 21:22:00,3.218
2014-02-16 21:27:00,2.086
2014-02-16 21:32:00,1.884
2014-02-16 21:37:00,2.108
2014-02-16 21:42:00,1.988
2014-02-16 21:47:00,2.034
2014-02-16 21:52:00,1.896
2014-02-16 21:57:00,3.416
2014-02-16 22:02:00,1.918
2014-02-16 22:07:00,2.11
2014-02-16 22:12:00,1.854
2014-02-16 22:17:00,2.036
2014-02-16 22:22:00,3.162
2014-02-16 22:27:00,2.03
2014-02-16 22:32:00,1.898
2014-02-16 22:37:00,2
2014-02-16 22:42:00,1.864
2014-02-16 22:47:00,2.046
2014-02-16 22:52:00,1.93
2014-02-16 22:57:00,2.106
2014-02-16 23:02:00,2.02
2014-02-16 23:07:00,2.016
2014-02-16 23:12:00,3.146
2014-02-16 23:17:00,2.05
2014-02-16 23:22:00,1.816
2014-02-16 23:27:00,2.046
2014-02-16 23:32:00,1.834
2014-02-16 23:37:00,2.096
2014-02-16 23:42:00,1.862
2014-02-16 23:47:00,2.054
2014-02-16 23:52:00,1.91
2014-02-16 23:57:00,2.172
2014-02-17 00:02:00,1.986
2014-02-17 00:07:00,2.152
2014-02-17 00:12:00,1.986
2014-02-17 00:17:00,3.532
2014-02-17 00:22:00,1.854
2014-02-17 00:27:00,2.144
2014-02-17 00:32:00,1.872
2014-02-17 00:37:00,2.036
2014-02-17 00:42:00,1.864
2014-02-17 00:47:00,2.042
2014-02-17 00:52:00,1.846
2014-02-17 00:57:00,2.142
2014-02-17 01:02:00,1.84
2014-02-17 01:07:00,3.338
2014-02-17 01:12:00,1.806
2014-02-17 01:17:00,2.032
2014-02-17 01:22:00,1.816
2014-02-17 01:27:00,2.116
2014-02-17 01:32:00,2.034
2014-02-17 01:37:00,2.034
2014-02-17 01:42:00,1.866
2014-02-17 01:47:00,1.996
2014-02-17 01:52:00,1.886
2014-02-17 01:57:00,2.152
2014-02-17 02:02:00,1.902
2014-02-17 02:07:00,2.16
2014-02-17 02:12:00,1.906
2014-02-17 02:17:00,3.352
2014-02-17 02:22:00,2.002
2014-02-17 02:27:00,2.186
2014-02-17 02:32:00,1.974
2014-02-17 02:37:00,2.192
2014-02-17 02:42:00,2.11
2014-02-17 02:47:00,2.092
2014-02-17 02:52:00,1.916
2014-02-17 02:57:00,2.2
2014-02-17 03:02:00,4.534
2014-02-17 03:07:00,2.716
2014-02-17 03:12:00,3.974
2014-02-17 03:17:00,2.576
2014-02-17 03:22:00,2.366
2014-02-17 03:27:00,2.398
2014-02-17 03:32:00,2.166
2014-02-17 03:37:00,2.332
2014-02-17 03:42:00,2.07
2014-02-17 03:47:00,2.346
2014-02-17 03:52:00,2.17
2014-02-17 03:57:00,2.324
2014-02-17 04:02:00,2.106
2014-02-17 04:07:00,2.284
2014-02-17 04:12:00,3.49
2014-02-17 04:17:00,2.29
2014-02-17 04:22:00,2.224
2014-02-17 04:27:00,2.674
2014-02-17 04:32:00,2.134
2014-02-17 04:37:00,4.624
2014-02-17 04:42:00,2.424
2014-02-17 04:47:00,2.358
2014-02-17 04:52:00,2.204
2014-02-17 04:57:00,2.464
2014-02-17 05:02:00,2.232
2014-02-17 05:07:00,2.374
2014-02-17 05:12:00,6.09
2014-02-17 05:17:00,2.872
2014-02-17 05:22:00,2.62
2014-02-17 05:27:00,2.7
2014-02-17 05:32:00,2.666
2014-02-17 05:37:00,2.834
2014-02-17 05:42:00,6.412
2014-02-17 05:47:00,60.19
2014-02-17 05:52:00,54
2014-02-17 05:57:00,48.916
2014-02-17 06:02:00,8.41
2014-02-17 06:07:00,67.948
2014-02-17 06:12:00,53.922
2014-02-17 06:17:00,63.722
2014-02-17 06:22:00,61.076
2014-02-17 06:27:00,53.794
2014-02-17 06:32:00,44.366
2014-02-17 06:37:00,61.794
2014-02-17 06:42:00,56.262
2014-02-17 06:47:00,55.512
